return_id,order_id,return_date,return_reason
R1106,O00844,2026-08-19,Wrong Item
R1107,O00518,2026-08-19,Wrong Item
R1108,O00651,2026-08-19,Damaged Product
R1109,O00698,2026-08-19,Damaged Product
R1110,O00248,2026-08-19,Wrong Item
R1111,O00501,2026-08-19,Customer Return
R1112,O00457,2026-08-19,Damaged Product
R1113,O00984,2026-08-19,Wrong Item
R1114,O00601,2026-08-19,Customer Return
R1115,O00359,2026-08-19,Wrong Item
R1116,O00168,2026-08-19,Wrong Item
R1117,O00767,2026-08-19,Customer Return
R1118,O00093,2026-08-19,Wrong Item
R1119,O00029,2026-08-19,Wrong Item
R1120,O00051,2026-08-19,Damaged Product
R1121,O00875,2026-08-19,Customer Return
R1122,O00799,2026-08-19,Damaged Product
R1123,O00878,2026-08-19,Damaged Product
R1124,O00663,2026-08-19,Damaged Product
R1125,O00694,2026-08-19,Damaged Product
R1126,O00276,2026-08-19,Customer Return
R1127,O00420,2026-08-19,Customer Return
R1128,O00021,2026-08-19,Customer Return
R1129,O00010,2026-08-19,Wrong Item
R1130,O00934,2026-08-19,Damaged Product
R1131,O00663,2026-08-19,Damaged Product
R1132,O00616,2026-08-19,Damaged Product
R1133,O00230,2026-08-19,Wrong Item
R1134,O00623,2026-08-19,Wrong Item
R1135,O00730,2026-08-19,Customer Return
R1136,O00659,2026-08-19,Wrong Item
R1137,O00434,2026-08-19,Wrong Item
R1138,O00873,2026-08-19,Wrong Item
R1139,O00471,2026-08-19,Wrong Item
R1140,O00224,2026-08-19,Wrong Item
R1141,O00310,2026-08-19,Customer Return
R1142,O00534,2026-08-19,Customer Return
R1143,O00407,2026-08-19,Customer Return
R1144,O00105,2026-08-19,Damaged Product
R1145,O00524,2026-08-19,Customer Return
R1146,O00990,2026-08-19,Wrong Item
R1147,O00575,2026-08-19,Customer Return
R1148,O00609,2026-08-19,Customer Return
R1149,O00290,2026-08-19,Wrong Item
R1150,O00701,2026-08-19,Damaged Product
R1151,O00494,2026-08-19,Damaged Product
R1152,O00345,2026-08-19,Wrong Item
R1153,O00656,2026-08-19,Wrong Item
R1154,O00883,2026-08-19,Wrong Item
R1155,O00268,2026-08-19,Customer Return
R1156,O00729,2026-08-19,Customer Return
R1157,O00306,2026-08-19,Damaged Product
R1158,O00154,2026-08-19,Customer Return
R1159,O00784,2026-08-19,Damaged Product
R1160,O00922,2026-08-19,Damaged Product
R1161,O00825,2026-08-19,Customer Return
R1162,O00414,2026-08-19,Customer Return
R1163,O00328,2026-08-19,Customer Return
R1164,O00144,2026-08-19,Customer Return
R1165,O00027,2026-08-19,Customer Return
R1166,O00510,2026-08-19,Wrong Item
R1167,O00266,2026-08-19,Wrong Item
R1168,O00415,2026-08-19,Wrong Item
R1169,O00755,2026-08-19,Damaged Product
R1170,O00598,2026-08-19,Customer Return
R1171,O00586,2026-08-19,Damaged Product
R1172,O00352,2026-08-19,Customer Return
R1173,O00731,2026-08-19,Damaged Product
R1174,O00703,2026-08-19,Customer Return
R1175,O00654,2026-08-19,Wrong Item
R1176,O00929,2026-08-19,Customer Return
R1177,O00368,2026-08-19,Customer Return
R1178,O00308,2026-08-19,Damaged Product
R1179,O00861,2026-08-19,Customer Return
R1180,O00898,2026-08-19,Customer Return
R1181,O00186,2026-08-19,Wrong Item
R1182,O00100,2026-08-19,Wrong Item
R1183,O00132,2026-08-19,Customer Return
R1184,O00265,2026-08-19,Customer Return
R1185,O00828,2026-08-19,Customer Return
R1186,O00782,2026-08-19,Damaged Product
R1187,O00970,2026-08-19,Customer Return
R1188,O00922,2026-08-19,Wrong Item
R1189,O00671,2026-08-19,Damaged Product
R1190,O00228,2026-08-19,Wrong Item
R1191,O00229,2026-08-19,Customer Return
R1192,O00893,2026-08-19,Wrong Item
R1193,O00431,2026-08-19,Wrong Item
R1194,O00381,2026-08-19,Wrong Item
R1195,O00600,2026-08-19,Wrong Item
R1196,O00475,2026-08-19,Damaged Product
R1197,O00482,2026-08-19,Damaged Product
R1198,O00888,2026-08-19,Customer Return
R1199,O00598,2026-08-19,Customer Return
R1200,O00967,2026-08-19,Customer Return
