order_id,customer_id,product_id,quantity,order_date,order_amount
O00078,C059,P009,4,2026-08-17,127084
O00079,C072,P039,3,2026-08-15,21900
O00080,C079,P047,5,2026-08-14,164710
O00081,C071,P029,2,2026-08-16,18974
O00082,C058,P017,2,2026-08-09,53130
O00083,C099,P050,5,2026-08-16,10670
O00084,C081,P016,3,2026-08-15,166983
O00085,C010,P046,3,2026-08-08,110127
O00086,C035,P022,3,2026-08-18,25776
O00087,C011,P009,2,2026-08-08,63542
O00088,C050,P045,2,2026-08-07,110992
O00089,C009,P027,4,2026-08-11,120828
O00090,C070,P030,4,2026-08-02,125580
O00091,C027,P027,4,2026-08-01,120828
O00092,C098,P037,4,2026-08-16,186552
O00093,C001,P023,3,2026-08-13,8871
O00094,C054,P035,5,2026-08-08,125785
O00095,C063,P015,3,2026-08-14,208089
O00096,C063,P002,4,2026-08-11,105084
O00097,C086,P044,4,2026-08-06,236000
O00098,C060,P009,5,2026-08-18,158855
O00099,C004,P026,5,2026-08-01,47525
O00100,C011,P042,4,2026-08-05,131164
O00101,C060,P012,1,2026-08-09,16683
O00102,C049,P021,2,2026-08-15,65386
O00103,C042,P022,4,2026-08-09,34368
O00104,C097,P027,3,2026-08-03,90621
O00105,C061,P002,5,2026-08-02,131355
O00106,C045,P015,1,2026-08-02,69363
O00107,C097,P002,2,2026-08-07,52542
O00108,C003,P040,2,2026-08-08,16288
O00109,C017,P031,1,2026-08-07,63824
O00110,C060,P045,3,2026-08-12,166488
O00111,C022,P039,5,2026-08-04,36500
O00112,C100,P011,3,2026-08-04,191697
O00113,C075,P002,3,2026-08-13,78813
O00114,C051,P046,2,2026-08-03,73418
O00115,C076,P045,2,2026-08-04,110992
O00116,C090,P050,3,2026-08-04,6402
O00117,C073,P003,3,2026-08-18,147627
O00118,C055,P043,3,2026-08-03,75393
O00119,C065,P042,3,2026-08-01,98373
O00120,C054,P032,1,2026-08-14,17542
O00121,C047,P041,4,2026-08-05,178692
O00122,C056,P012,5,2026-08-09,83415
O00123,C079,P035,4,2026-08-15,100628
O00124,C056,P047,5,2026-08-09,164710
O00125,C042,P016,1,2026-08-09,55661
O00126,C058,P016,4,2026-08-13,222644
O00127,C044,P002,4,2026-08-11,105084
O00128,C024,P032,2,2026-08-12,35084
O00129,C034,P022,3,2026-08-09,25776
O00130,C072,P001,5,2026-08-07,333700
O00131,C011,P016,4,2026-08-16,222644
O00132,C072,P049,2,2026-08-16,26066
O00133,C083,P046,4,2026-08-15,146836
O00134,C003,P006,3,2026-08-08,8256
O00135,C052,P045,2,2026-08-10,110992
O00136,C085,P038,3,2026-08-16,162249
O00137,C071,P034,3,2026-08-14,186579
O00138,C096,P036,3,2026-08-12,38712
O00139,C090,P030,3,2026-08-10,94185
O00140,C033,P015,1,2026-08-07,69363
O00141,C041,P008,5,2026-08-06,157925
O00142,C025,P014,4,2026-08-09,87372
O00143,C093,P038,5,2026-08-10,270415
O00144,C013,P013,3,2026-08-08,187488
O00145,C047,P012,3,2026-08-01,50049
O00146,C091,P035,2,2026-08-09,50314
O00147,C006,P004,5,2026-08-10,348570
O00148,C090,P009,4,2026-08-04,127084
O00149,C002,P037,3,2026-08-16,139914
O00150,C062,P029,3,2026-08-06,28461
O00151,C007,P017,4,2026-08-04,106260
O00152,C009,P026,4,2026-08-03,38020
O00153,C074,P041,1,2026-08-05,44673
O00154,C020,P037,3,2026-08-03,139914
O00155,C032,P008,5,2026-08-14,157925
O00156,C078,P039,5,2026-08-08,36500
O00157,C100,P034,4,2026-08-15,248772
O00158,C057,P020,5,2026-08-14,296885
O00159,C040,P037,5,2026-08-02,233190
O00160,C079,P048,1,2026-08-07,58282
O00161,C081,P014,3,2026-08-03,65529
O00162,C021,P016,2,2026-08-18,111322
O00163,C010,P011,1,2026-08-14,63899
O00164,C058,P045,5,2026-08-16,277480
O00165,C038,P003,2,2026-08-10,98418
O00166,C091,P019,4,2026-08-03,230488
O00167,C088,P015,3,2026-08-07,208089
O00168,C055,P008,5,2026-08-08,157925
O00169,C083,P010,3,2026-08-05,31566
O00170,C010,P004,2,2026-08-10,139428
O00171,C077,P048,5,2026-08-10,291410
O00172,C057,P008,4,2026-08-10,126340
O00173,C090,P026,3,2026-08-17,28515
O00174,C070,P032,4,2026-08-03,70168
O00175,C077,P003,4,2026-08-11,196836
O00176,C078,P017,1,2026-08-03,26565
O00177,C030,P044,5,2026-08-01,295000
O00178,C098,P044,3,2026-08-02,177000
O00179,C098,P049,2,2026-08-16,26066
O00180,C067,P042,4,2026-08-09,131164
O00181,C024,P038,4,2026-08-16,216332
O00182,C012,P031,3,2026-08-14,191472
O00183,C043,P021,1,2026-08-06,32693
O00184,C043,P027,4,2026-08-10,120828
O00185,C085,P026,5,2026-08-02,47525
O00186,C059,P006,3,2026-08-09,8256
O00187,C042,P008,4,2026-08-17,126340
O00188,C001,P043,5,2026-08-15,125655
O00189,C053,P004,2,2026-08-17,139428
O00190,C047,P040,4,2026-08-15,32576
O00191,C098,P004,2,2026-08-09,139428
O00192,C071,P009,3,2026-08-15,95313
O00193,C090,P032,1,2026-08-01,17542
O00194,C081,P039,2,2026-08-06,14600
O00195,C040,P036,1,2026-08-18,12904
O00196,C053,P006,2,2026-08-04,5504
O00197,C060,P008,2,2026-08-16,63170
O00198,C092,P019,5,2026-08-09,288110
O00199,C054,P031,4,2026-08-08,255296
O00200,C059,P036,2,2026-08-13,25808
O00201,C025,P039,5,2026-08-05,36500
O00202,C009,P018,4,2026-08-11,209984
O00203,C065,P018,1,2026-08-10,52496
O00204,C093,P020,5,2026-08-16,296885
O00205,C020,P029,5,2026-08-16,47435
O00206,C045,P022,5,2026-08-18,42960
O00207,C049,P030,3,2026-08-07,94185
O00208,C090,P016,5,2026-08-13,278305
O00209,C030,P050,4,2026-08-02,8536
O00210,C041,P048,4,2026-08-13,233128
O00211,C050,P043,2,2026-08-16,50262
O00212,C005,P009,5,2026-08-11,158855
O00213,C013,P029,1,2026-08-17,9487
O00214,C059,P001,2,2026-08-14,133480
O00215,C084,P010,1,2026-08-16,10522
O00216,C034,P022,5,2026-08-13,42960
O00217,C084,P006,3,2026-08-18,8256
O00218,C049,P021,4,2026-08-18,130772
O00219,C005,P040,1,2026-08-08,8144
O00220,C081,P044,3,2026-08-08,177000
O00221,C096,P006,4,2026-08-04,11008
O00222,C098,P041,1,2026-08-15,44673
O00223,C022,P045,3,2026-08-01,166488
O00224,C006,P021,1,2026-08-10,32693
O00225,C046,P024,4,2026-08-05,121444
O00226,C032,P034,4,2026-08-06,248772
O00227,C022,P012,1,2026-08-13,16683
O00228,C080,P044,2,2026-08-16,118000
O00229,C075,P010,2,2026-08-15,21044
O00230,C082,P017,4,2026-08-09,106260
O00231,C086,P001,4,2026-08-10,266960
O00232,C087,P035,2,2026-08-03,50314
O00233,C057,P023,5,2026-08-10,14785
O00234,C082,P028,3,2026-08-15,12951
O00235,C039,P013,4,2026-08-16,249984
O00236,C014,P016,4,2026-08-12,222644
O00237,C074,P019,3,2026-08-01,172866
O00238,C085,P026,3,2026-08-01,28515
O00239,C073,P044,1,2026-08-16,59000
O00240,C037,P050,2,2026-08-12,4268
O00241,C029,P041,2,2026-08-09,89346
O00242,C087,P049,2,2026-08-04,26066
O00243,C081,P042,1,2026-08-10,32791
O00244,C057,P003,5,2026-08-12,246045
O00245,C094,P009,1,2026-08-10,31771
O00246,C042,P048,4,2026-08-06,233128
O00247,C026,P009,5,2026-08-12,158855
O00248,C068,P033,3,2026-08-06,186459
O00249,C033,P031,3,2026-08-11,191472
O00250,C015,P030,1,2026-08-05,31395
O00251,C097,P015,4,2026-08-18,277452
O00252,C047,P006,4,2026-08-01,11008
O00253,C034,P035,1,2026-08-15,25157
O00254,C048,P044,3,2026-08-13,177000
O00255,C082,P024,1,2026-08-08,30361
O00256,C061,P002,5,2026-08-18,131355
O00257,C042,P040,2,2026-08-03,16288
O00258,C082,P030,3,2026-08-14,94185
O00259,C015,P009,1,2026-08-02,31771
O00260,C039,P032,1,2026-08-04,17542
O00261,C031,P035,2,2026-08-13,50314
O00262,C059,P024,5,2026-08-14,151805
O00263,C076,P048,2,2026-08-14,116564
O00264,C084,P007,4,2026-08-14,191104
O00265,C036,P003,3,2026-08-07,147627
O00266,C057,P029,2,2026-08-12,18974
O00267,C013,P044,3,2026-08-18,177000
O00268,C083,P023,1,2026-08-13,2957
O00269,C036,P013,1,2026-08-15,62496
O00270,C012,P043,2,2026-08-01,50262
O00271,C007,P022,2,2026-08-05,17184
O00272,C073,P014,1,2026-08-18,21843
O00273,C027,P038,2,2026-08-08,108166
O00274,C043,P050,2,2026-08-01,4268
O00275,C036,P010,2,2026-08-18,21044
O00276,C033,P012,1,2026-08-01,16683
O00277,C017,P001,3,2026-08-08,200220
O00278,C076,P021,1,2026-08-06,32693
O00279,C034,P004,2,2026-08-14,139428
O00280,C068,P008,1,2026-08-16,31585
O00281,C058,P050,3,2026-08-17,6402
O00282,C076,P007,4,2026-08-17,191104
O00283,C029,P040,1,2026-08-17,8144
O00284,C039,P030,1,2026-08-02,31395
O00285,C062,P026,4,2026-08-04,38020
O00286,C063,P046,4,2026-08-03,146836
O00287,C011,P021,5,2026-08-05,163465
O00288,C009,P009,3,2026-08-18,95313
O00289,C092,P021,4,2026-08-17,130772
O00290,C038,P030,5,2026-08-14,156975
O00291,C013,P045,1,2026-08-18,55496
O00292,C093,P014,4,2026-08-15,87372
O00293,C030,P027,3,2026-08-15,90621
O00294,C052,P027,1,2026-08-11,30207
O00295,C055,P021,3,2026-08-12,98079
O00296,C020,P044,4,2026-08-03,236000
O00297,C012,P006,1,2026-08-14,2752
O00298,C013,P048,3,2026-08-05,174846
O00299,C072,P004,5,2026-08-18,348570
O00300,C072,P022,1,2026-08-14,8592
O00301,C046,P043,4,2026-08-02,100524
O00302,C037,P039,3,2026-08-12,21900
O00303,C014,P037,5,2026-08-07,233190
O00304,C020,P043,4,2026-08-08,100524
O00305,C014,P023,5,2026-08-12,14785
O00306,C015,P049,3,2026-08-08,39099
O00307,C055,P036,5,2026-08-18,64520
O00308,C004,P039,3,2026-08-01,21900
O00309,C024,P018,3,2026-08-11,157488
O00310,C045,P001,2,2026-08-05,133480
O00311,C073,P043,4,2026-08-03,100524
O00312,C019,P048,1,2026-08-03,58282
O00313,C096,P034,2,2026-08-13,124386
O00314,C054,P030,3,2026-08-06,94185
O00315,C048,P020,3,2026-08-03,178131
O00316,C007,P010,2,2026-08-02,21044
O00317,C087,P006,3,2026-08-15,8256
O00318,C085,P028,4,2026-08-15,17268
O00319,C054,P018,2,2026-08-17,104992
O00320,C015,P023,4,2026-08-04,11828
O00321,C037,P044,5,2026-08-16,295000
O00322,C068,P043,3,2026-08-02,75393
O00323,C029,P026,5,2026-08-02,47525
O00324,C001,P014,3,2026-08-07,65529
O00325,C099,P009,3,2026-08-10,95313
O00326,C042,P008,1,2026-08-16,31585
O00327,C096,P028,2,2026-08-05,8634
O00328,C049,P035,2,2026-08-17,50314
O00329,C072,P043,3,2026-08-03,75393
O00330,C051,P048,1,2026-08-14,58282
O00331,C003,P030,1,2026-08-11,31395
O00332,C074,P028,5,2026-08-13,21585
O00333,C091,P041,4,2026-08-10,178692
O00334,C015,P026,1,2026-08-11,9505
O00335,C022,P040,4,2026-08-12,32576
O00336,C012,P028,1,2026-08-08,4317
O00337,C056,P038,4,2026-08-17,216332
O00338,C011,P026,3,2026-08-11,28515
O00339,C029,P022,2,2026-08-03,17184
O00340,C066,P041,1,2026-08-17,44673
O00341,C066,P013,3,2026-08-12,187488
O00342,C094,P042,2,2026-08-08,65582
O00343,C014,P010,3,2026-08-07,31566
O00344,C023,P039,2,2026-08-03,14600
O00345,C023,P050,4,2026-08-15,8536
O00346,C097,P037,5,2026-08-15,233190
O00347,C088,P037,5,2026-08-11,233190
O00348,C081,P021,2,2026-08-15,65386
O00349,C009,P031,4,2026-08-10,255296
O00350,C036,P038,1,2026-08-12,54083
O00351,C065,P005,3,2026-08-15,128061
O00352,C058,P003,1,2026-08-12,49209
O00353,C037,P005,1,2026-08-17,42687
O00354,C050,P030,5,2026-08-18,156975
O00355,C095,P003,4,2026-08-07,196836
O00356,C042,P039,4,2026-08-17,29200
O00357,C020,P004,4,2026-08-04,278856
O00358,C044,P046,1,2026-08-17,36709
O00359,C083,P012,1,2026-08-08,16683
O00360,C091,P029,4,2026-08-17,37948
O00361,C067,P040,2,2026-08-12,16288
O00362,C048,P019,4,2026-08-14,230488
O00363,C100,P022,5,2026-08-02,42960
O00364,C081,P042,3,2026-08-03,98373
O00365,C043,P007,5,2026-08-13,238880
O00366,C037,P017,5,2026-08-05,132825
O00367,C043,P006,5,2026-08-05,13760
O00368,C045,P020,4,2026-08-05,237508
O00369,C077,P046,1,2026-08-10,36709
O00370,C072,P025,3,2026-08-05,87192
O00371,C086,P045,5,2026-08-03,277480
O00372,C083,P043,4,2026-08-17,100524
O00373,C047,P002,3,2026-08-10,78813
O00374,C024,P014,3,2026-08-16,65529
O00375,C025,P015,2,2026-08-05,138726
O00376,C010,P019,1,2026-08-17,57622
O00377,C099,P035,5,2026-08-02,125785
O00378,C085,P022,5,2026-08-05,42960
O00379,C077,P025,2,2026-08-06,58128
O00380,C024,P045,5,2026-08-06,277480
O00381,C093,P029,1,2026-08-14,9487
O00382,C047,P044,2,2026-08-15,118000
O00383,C079,P019,4,2026-08-08,230488
O00384,C069,P016,3,2026-08-16,166983
O00385,C025,P024,5,2026-08-15,151805
O00386,C060,P050,3,2026-08-13,6402
O00387,C065,P034,4,2026-08-06,248772
O00388,C026,P039,2,2026-08-09,14600
O00389,C007,P042,4,2026-08-12,131164
O00390,C071,P007,5,2026-08-04,238880
O00391,C037,P006,2,2026-08-09,5504
O00392,C058,P033,2,2026-08-14,124306
O00393,C012,P015,4,2026-08-12,277452
O00394,C004,P027,1,2026-08-13,30207
O00395,C065,P024,2,2026-08-13,60722
O00396,C011,P024,2,2026-08-01,60722
O00397,C041,P007,3,2026-08-05,143328
O00398,C018,P003,3,2026-08-16,147627
O00399,C090,P009,4,2026-08-15,127084
O00400,C079,P001,1,2026-08-01,66740
O00401,C033,P014,2,2026-08-18,43686
O00402,C094,P039,5,2026-08-14,36500
O00403,C015,P050,3,2026-08-08,6402
O00404,C039,P008,1,2026-08-08,31585
O00405,C054,P041,5,2026-08-15,223365
O00406,C009,P008,4,2026-08-18,126340
O00407,C003,P041,5,2026-08-08,223365
O00408,C092,P010,3,2026-08-14,31566
O00409,C001,P040,3,2026-08-08,24432
O00410,C074,P027,2,2026-08-03,60414
O00411,C068,P024,1,2026-08-17,30361
O00412,C070,P033,5,2026-08-18,310765
O00413,C003,P025,4,2026-08-02,116256
O00414,C082,P025,3,2026-08-09,87192
O00415,C096,P002,3,2026-08-03,78813
O00416,C045,P016,1,2026-08-11,55661
O00417,C018,P003,3,2026-08-18,147627
O00418,C044,P042,2,2026-08-15,65582
O00419,C090,P031,2,2026-08-05,127648
O00420,C009,P046,4,2026-08-02,146836
O00421,C038,P013,1,2026-08-07,62496
O00422,C006,P021,3,2026-08-17,98079
O00423,C051,P035,4,2026-08-09,100628
O00424,C005,P049,2,2026-08-10,26066
O00425,C046,P050,1,2026-08-11,2134
O00426,C035,P008,3,2026-08-14,94755
O00427,C052,P048,4,2026-08-13,233128
O00428,C044,P012,4,2026-08-16,66732
O00429,C048,P034,3,2026-08-03,186579
O00430,C094,P028,1,2026-08-14,4317
O00431,C078,P012,5,2026-08-10,83415
O00432,C042,P007,1,2026-08-11,47776
O00433,C085,P019,3,2026-08-15,172866
O00434,C078,P046,4,2026-08-06,146836
O00435,C089,P029,3,2026-08-15,28461
O00436,C006,P047,3,2026-08-14,98826
O00437,C036,P041,1,2026-08-03,44673
O00438,C086,P041,4,2026-08-12,178692
O00439,C066,P048,2,2026-08-01,116564
O00440,C019,P039,4,2026-08-02,29200
O00441,C017,P005,2,2026-08-12,85374
O00442,C047,P025,5,2026-08-02,145320
O00443,C078,P010,4,2026-08-12,42088
O00444,C048,P029,1,2026-08-05,9487
O00445,C068,P024,4,2026-08-11,121444
O00446,C084,P018,2,2026-08-04,104992
O00447,C004,P048,2,2026-08-16,116564
O00448,C067,P025,5,2026-08-04,145320
O00449,C034,P050,3,2026-08-15,6402
O00450,C028,P040,3,2026-08-16,24432
O00451,C026,P008,2,2026-08-03,63170
O00452,C058,P012,4,2026-08-03,66732
O00453,C088,P021,3,2026-08-03,98079
O00454,C071,P035,3,2026-08-10,75471
O00455,C021,P046,2,2026-08-12,73418
O00456,C066,P015,1,2026-08-07,69363
O00457,C018,P016,4,2026-08-01,222644
O00458,C047,P036,5,2026-08-12,64520
O00459,C060,P036,2,2026-08-03,25808
O00460,C009,P020,4,2026-08-16,237508
O00461,C068,P027,4,2026-08-03,120828
O00462,C017,P021,1,2026-08-15,32693
O00463,C060,P044,5,2026-08-12,295000
O00464,C017,P050,5,2026-08-06,10670
O00465,C099,P009,4,2026-08-17,127084
O00466,C008,P008,5,2026-08-05,157925
O00467,C039,P011,2,2026-08-11,127798
O00468,C091,P015,3,2026-08-17,208089
O00469,C037,P006,3,2026-08-07,8256
O00470,C082,P036,3,2026-08-05,38712
O00471,C081,P020,5,2026-08-18,296885
O00472,C012,P033,2,2026-08-05,124306
O00473,C022,P043,5,2026-08-11,125655
O00474,C073,P003,1,2026-08-03,49209
O00475,C006,P042,5,2026-08-09,163955
O00476,C084,P014,5,2026-08-14,109215
O00477,C080,P041,1,2026-08-16,44673
O00478,C081,P035,3,2026-08-10,75471
O00479,C062,P016,4,2026-08-10,222644
O00480,C059,P005,1,2026-08-06,42687
O00481,C057,P027,4,2026-08-15,120828
O00482,C027,P022,5,2026-08-05,42960
O00483,C041,P046,3,2026-08-12,110127
O00484,C052,P009,3,2026-08-17,95313
O00485,C072,P007,3,2026-08-08,143328
O00486,C060,P008,3,2026-08-15,94755
O00487,C032,P010,1,2026-08-02,10522
O00488,C038,P025,5,2026-08-14,145320
O00489,C032,P011,3,2026-08-11,191697
O00490,C025,P049,2,2026-08-16,26066
O00491,C066,P030,4,2026-08-10,125580
O00492,C064,P002,1,2026-08-13,26271
O00493,C065,P030,2,2026-08-07,62790
O00494,C075,P023,1,2026-08-02,2957
O00495,C037,P032,5,2026-08-16,87710
O00496,C037,P035,1,2026-08-04,25157
O00497,C056,P009,3,2026-08-12,95313
O00498,C098,P026,3,2026-08-02,28515
O00499,C052,P004,5,2026-08-18,348570
O00500,C025,P024,5,2026-08-10,151805
O00501,C010,P025,5,2026-08-15,145320
O00502,C098,P036,3,2026-08-04,38712
O00503,C017,P007,4,2026-08-12,191104
O00504,C044,P036,3,2026-08-05,38712
O00505,C026,P039,5,2026-08-13,36500
O00506,C065,P003,1,2026-08-02,49209
O00507,C018,P046,3,2026-08-16,110127
O00508,C067,P030,2,2026-08-17,62790
O00509,C018,P021,5,2026-08-11,163465
O00510,C021,P026,5,2026-08-10,47525
O00511,C076,P022,5,2026-08-17,42960
O00512,C069,P032,5,2026-08-10,87710
O00513,C061,P002,3,2026-08-11,78813
O00514,C087,P008,4,2026-08-10,126340
O00515,C093,P045,1,2026-08-16,55496
O00516,C034,P042,5,2026-08-08,163955
O00517,C093,P004,5,2026-08-16,348570
O00518,C022,P034,5,2026-08-13,310965
O00519,C019,P044,2,2026-08-02,118000
O00520,C074,P045,1,2026-08-07,55496
O00521,C003,P029,3,2026-08-14,28461
O00522,C020,P027,2,2026-08-14,60414
O00523,C065,P050,5,2026-08-16,10670
O00524,C095,P047,1,2026-08-05,32942
O00525,C067,P014,5,2026-08-11,109215
O00526,C085,P031,5,2026-08-13,319120
O00527,C041,P012,4,2026-08-18,66732
O00528,C044,P035,3,2026-08-09,75471
O00529,C079,P031,2,2026-08-08,127648
O00530,C036,P036,3,2026-08-08,38712
O00531,C039,P050,3,2026-08-07,6402
O00532,C089,P046,4,2026-08-11,146836
O00533,C062,P023,5,2026-08-09,14785
O00534,C037,P008,5,2026-08-18,157925
O00535,C049,P026,3,2026-08-05,28515
O00536,C038,P003,3,2026-08-03,147627
O00537,C045,P029,3,2026-08-16,28461
O00538,C028,P013,5,2026-08-09,312480
O00539,C072,P045,3,2026-08-05,166488
O00540,C014,P040,5,2026-08-08,40720
O00541,C032,P004,5,2026-08-08,348570
O00542,C082,P015,1,2026-08-04,69363
O00543,C053,P022,4,2026-08-04,34368
O00544,C088,P050,2,2026-08-01,4268
O00545,C071,P011,4,2026-08-16,255596
O00546,C062,P042,2,2026-08-10,65582
O00547,C042,P019,1,2026-08-03,57622
O00548,C084,P037,2,2026-08-18,93276
O00549,C095,P047,1,2026-08-06,32942
O00550,C054,P012,1,2026-08-13,16683
O00551,C064,P012,3,2026-08-02,50049
O00552,C002,P020,5,2026-08-04,296885
O00553,C043,P019,4,2026-08-18,230488
O00554,C068,P032,2,2026-08-17,35084
O00555,C060,P018,2,2026-08-04,104992
O00556,C043,P011,4,2026-08-09,255596
O00557,C092,P012,1,2026-08-11,16683
O00558,C038,P037,2,2026-08-06,93276
O00559,C079,P041,4,2026-08-14,178692
O00560,C066,P021,1,2026-08-13,32693
O00561,C086,P007,2,2026-08-05,95552
O00562,C062,P021,2,2026-08-01,65386
O00563,C034,P025,2,2026-08-15,58128
O00564,C097,P018,3,2026-08-10,157488
O00565,C075,P047,5,2026-08-01,164710
O00566,C034,P042,3,2026-08-08,98373
O00567,C008,P043,1,2026-08-15,25131
O00568,C040,P011,4,2026-08-17,255596
O00569,C091,P050,3,2026-08-04,6402
O00570,C082,P019,3,2026-08-08,172866
O00571,C029,P009,4,2026-08-05,127084
O00572,C059,P048,5,2026-08-12,291410
O00573,C054,P045,5,2026-08-16,277480
O00574,C097,P035,2,2026-08-08,50314
O00575,C088,P049,5,2026-08-03,65165
O00576,C068,P029,5,2026-08-12,47435
O00577,C010,P037,1,2026-08-02,46638
O00578,C071,P033,2,2026-08-18,124306
O00579,C020,P011,3,2026-08-17,191697
O00580,C057,P008,2,2026-08-16,63170
O00581,C012,P033,4,2026-08-02,248612
O00582,C059,P009,5,2026-08-14,158855
O00583,C059,P037,1,2026-08-18,46638
O00584,C060,P044,3,2026-08-01,177000
O00585,C051,P017,1,2026-08-07,26565
O00586,C075,P005,1,2026-08-14,42687
O00587,C045,P045,1,2026-08-18,55496
O00588,C008,P005,4,2026-08-02,170748
O00589,C037,P027,2,2026-08-05,60414
O00590,C099,P042,4,2026-08-12,131164
O00591,C049,P029,4,2026-08-13,37948
O00592,C011,P044,5,2026-08-05,295000
O00593,C084,P023,1,2026-08-06,2957
O00594,C069,P026,5,2026-08-05,47525
O00595,C094,P015,1,2026-08-01,69363
O00596,C039,P030,5,2026-08-14,156975
O00597,C069,P025,2,2026-08-08,58128
O00598,C059,P023,2,2026-08-09,5914
O00599,C025,P047,1,2026-08-02,32942
O00600,C085,P027,5,2026-08-01,151035
O00601,C031,P014,1,2026-08-04,21843
O00602,C077,P003,4,2026-08-02,196836
O00603,C032,P048,1,2026-08-13,58282
O00604,C057,P015,5,2026-08-07,346815
O00605,C097,P050,1,2026-08-05,2134
O00606,C065,P019,2,2026-08-11,115244
O00607,C074,P039,3,2026-08-08,21900
O00608,C039,P010,5,2026-08-08,52610
O00609,C053,P020,3,2026-08-02,178131
O00610,C072,P038,2,2026-08-14,108166
O00611,C072,P032,1,2026-08-12,17542
O00612,C083,P043,4,2026-08-17,100524
O00613,C041,P045,4,2026-08-14,221984
O00614,C020,P020,4,2026-08-06,237508
O00615,C097,P035,4,2026-08-08,100628
O00616,C029,P020,2,2026-08-15,118754
O00617,C008,P036,4,2026-08-14,51616
O00618,C072,P034,2,2026-08-13,124386
O00619,C032,P017,2,2026-08-11,53130
O00620,C083,P006,4,2026-08-12,11008
O00621,C012,P035,2,2026-08-02,50314
O00622,C035,P025,5,2026-08-02,145320
O00623,C010,P013,5,2026-08-18,312480
O00624,C028,P031,2,2026-08-11,127648
O00625,C039,P001,2,2026-08-07,133480
O00626,C095,P008,4,2026-08-08,126340
O00627,C090,P039,2,2026-08-13,14600
O00628,C031,P036,3,2026-08-10,38712
O00629,C049,P030,5,2026-08-12,156975
O00630,C040,P017,3,2026-08-17,79695
O00631,C064,P030,1,2026-08-16,31395
O00632,C098,P021,2,2026-08-12,65386
O00633,C041,P027,1,2026-08-08,30207
O00634,C095,P010,1,2026-08-09,10522
